Feature,Importance
sensor_12_t-15,0.0007407004
sensor_12_t-7,0.0007349656
sensor_7_t-6,0.000732458
op_setting_2_t-17,0.00073206093
sensor_20_t-28,0.0007314729
sensor_11_t-8,0.00073001505
sensor_12_t-13,0.00072729937
sensor_8_t-21,0.0007261495
sensor_11_t-26,0.0007147831
sensor_15_t-27,0.00071003695
sensor_9_t-26,0.0007051478
sensor_21_t-25,0.00070425804
sensor_7_t-26,0.0007037267
sensor_9_t-29,0.0007023591
sensor_4_t-17,0.000698694
sensor_12_t-11,0.00069723837
sensor_13_t-4,0.0006929608
sensor_9_t-22,0.00068950304
sensor_13_t-11,0.0006882753
sensor_8_t-15,0.0006877861
sensor_15_t-28,0.00068362925
sensor_14_t-9,0.00068336964
sensor_9_t-19,0.00068307325
sensor_9_t-20,0.0006804118
sensor_20_t-27,0.00068009546
sensor_11_t-24,0.0006761834
sensor_21_t-29,0.0006754897
sensor_13_t-5,0.0006722804
sensor_21_t-24,0.0006713103
sensor_13_t-7,0.0006704752
sensor_2_t-8,0.0006696684
sensor_7_t-4,0.00066857773
sensor_12_t-23,0.0006679469
sensor_21_t-7,0.0006674194
sensor_11_t-25,0.0006650014
op_setting_1_t-16,0.000658246
sensor_21_t-11,0.0006541445
sensor_4_t-11,0.00065197767
sensor_4_t-7,0.0006511953
sensor_4_t-5,0.00065020926
sensor_12_t-20,0.0006445769
sensor_2_t-26,0.0006429846
sensor_7_t-18,0.0006416836
sensor_20_t-6,0.00063951866
sensor_17_t-23,0.0006389025
sensor_8_t-18,0.0006373152
sensor_21_t-21,0.00063696323
sensor_21_t-4,0.00063604367
sensor_20_t-19,0.00063181773
sensor_12_t-18,0.00062910985
sensor_21_t-17,0.0006285583
sensor_20_t-15,0.00062820304
sensor_2_t-17,0.00062428904
sensor_3_t-10,0.0006195823
sensor_21_t-27,0.0006183531
sensor_3_t-3,0.00061592413
op_setting_1_t-5,0.0006141135
sensor_11_t-17,0.00061372545
op_setting_1_t-1,0.0006121128
sensor_2_t-9,0.0006110237
sensor_12_t-16,0.00061024365
sensor_8_t-8,0.00060848874
sensor_3_t-17,0.00060749496
sensor_11_t-22,0.0006050152
sensor_17_t-16,0.00059897464
sensor_20_t-25,0.0005957239
sensor_11_t-11,0.00059525575
sensor_13_t-14,0.00059454475
sensor_20_t-5,0.00059057923
sensor_21_t-10,0.00058820547
sensor_15_t-25,0.0005880549
sensor_2_t-7,0.00058574113
sensor_17_t-7,0.00058540294
sensor_7_t-16,0.000585064
sensor_7_t-8,0.00058322796
sensor_9_t-15,0.0005817182
sensor_20_t-14,0.0005816073
sensor_11_t-23,0.000576619
sensor_13_t-13,0.00057309703
sensor_7_t-17,0.00057195965
sensor_15_t-7,0.0005715353
sensor_20_t-24,0.00057020213
sensor_13_t-8,0.00056829007
sensor_2_t-27,0.0005678986
sensor_2_t-12,0.0005674767
sensor_9_t-9,0.00056635623
sensor_14_t-10,0.0005612669
sensor_2_t-20,0.0005611746
