Feature,Importance
sensor_4_t-37,153.58219491795418
sensor_7_t-17,153.41226931344556
sensor_20_t-8,149.62586616293936
sensor_13_t-29,147.9821507288971
sensor_7_t-14,143.6800779643683
sensor_9_t-28,143.02831876550266
sensor_20_t-19,142.7361541821263
op_setting_1_t-7,141.99710943122668
sensor_13_t-33,139.4150910909669
sensor_12_t-0,138.5286424423155
sensor_3_t-5,136.55200774762704
sensor_13_t-1,134.33664275968968
sensor_21_t-17,132.6809744931503
sensor_7_t-26,127.89092061801837
sensor_9_t-3,123.43960596851268
sensor_20_t-38,122.11328622501357
sensor_2_t-33,118.1052138618147
sensor_20_t-24,117.25674940348512
sensor_21_t-23,117.18391116586328
sensor_4_t-0,117.11714459915906
sensor_7_t-6,112.64120804077376
sensor_7_t-27,112.07086897916568
sensor_20_t-37,111.25723050316293
sensor_12_t-30,107.113527273534
sensor_13_t-22,105.54778026453836
sensor_12_t-2,105.10688272429338
sensor_8_t-14,105.03708304289732
sensor_2_t-37,102.92644648931173
sensor_20_t-7,101.71809926969328
sensor_9_t-0,100.91853590294382
sensor_2_t-38,100.74289938221388
sensor_12_t-4,100.402935677208
sensor_15_t-28,99.80561648609499
sensor_2_t-36,98.88233478983811
sensor_15_t-33,98.43012936756374
sensor_7_t-30,98.34010061304315
sensor_2_t-11,97.43931081340857
sensor_7_t-35,96.1571781327225
sensor_7_t-37,95.74785880559577
sensor_20_t-1,95.31121165872004
sensor_20_t-36,93.36196183038572
sensor_9_t-38,93.24455367929284
sensor_12_t-33,92.43544493153611
sensor_2_t-39,92.18944389379318
sensor_4_t-28,90.9191185627472
sensor_7_t-29,89.86445762549349
sensor_2_t-34,88.00530845382276
sensor_14_t-19,81.63593424087796
sensor_4_t-27,76.99570749471383
op_setting_1_t-24,76.52679005704337
sensor_3_t-21,74.84716246961266
sensor_9_t-35,73.84167393076592
sensor_21_t-32,68.28434737352259
sensor_21_t-14,68.05554053736823
sensor_20_t-20,65.98218218288014
sensor_7_t-34,60.96324206077532
sensor_4_t-6,60.40086128494328
sensor_4_t-24,59.56858794791443
sensor_15_t-32,58.79500971883852
sensor_3_t-4,56.422069687140485
sensor_11_t-28,55.008816950026855
sensor_12_t-6,54.84195787390598
sensor_12_t-31,54.249617547067835
sensor_15_t-27,53.47884111025022
sensor_3_t-15,53.27395483097008
sensor_3_t-8,51.72556148961962
sensor_11_t-1,49.44634904276752
sensor_4_t-11,48.96767270690981
sensor_12_t-22,48.93114938568631
sensor_13_t-21,48.86553272157514
sensor_9_t-2,46.89395757184915
sensor_21_t-34,45.70627832351718
sensor_7_t-33,45.56043268760471
sensor_7_t-5,43.53857128996473
sensor_7_t-3,43.30843711699572
